result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type,events,park_id,home_team,game_pk,hc_x,hc_y,game_date,label
OUT,82.4,-18,38.644489437521536,4,ground_ball,field_out,4169,MIA,718771,158.25,157.21,2023-03-31,0
HR,104.1,33,27.593732255045058,377,fly_ball,home_run,4169,MIA,718771,195.92,63.38,2023-03-31,4
OUT,98.2,45,40.876884775583,308,fly_ball,field_out,4169,MIA,718771,207.03,103.98,2023-03-31,0
OUT,95.8,37,-20.835665497070178,354,fly_ball,field_out,4169,MIA,718771,74.75,65.13,2023-03-31,0
HR,111.6,26,40.010426735731514,411,line_drive,home_run,4169,MIA,718771,232.94,70.18,2023-03-31,4
OUT,87.4,39,31.18594691068571,297,fly_ball,field_out,4169,MIA,718771,187.25,96.12,2023-03-31,0
OUT,98.2,14,24.544703200152668,253,line_drive,field_out,4169,MIA,718771,167.26,106.65,2023-03-31,0
OUT,89.7,39,10.645591623211738,295,fly_ball,field_out,4169,MIA,718771,147.23,82.24,2023-03-31,0
DOUBLE,78.5,41,9.740968249523398,258,fly_ball,double,4169,MIA,718771,142.75,97.32,2023-03-31,2
OUT,73.4,5,24.556056358178793,55,ground_ball,field_out,4169,MIA,718771,142.12,161.72,2023-03-31,0
OUT,103.6,-19,-23.114804398115584,9,ground_ball,field_out,4169,MIA,718771,104.27,148.72,2023-03-31,0
OUT,57.4,-72,48.067461778721075,1,ground_ball,field_out,4169,MIA,718771,136.43,188.38,2023-03-31,0
OUT,81.3,35,45.65678338814865,250,fly_ball,field_out,4169,MIA,718771,197.33,127.99,2023-03-31,0
OUT,70.7,10,43.638411085277454,100,ground_ball,field_out,4169,MIA,718771,165.26,156.49,2023-03-31,0
OUT,92.5,-27,37.06142478405554,3,ground_ball,field_out,4169,MIA,718771,156.43,157.21,2023-03-31,0
OUT,99.1,-12,-12.907840052045854,14,ground_ball,field_out,4169,MIA,718771,113.37,145.69,2023-03-31,0
OUT,95.5,-16,-12.061072330176366,6,ground_ball,field_out,4169,MIA,718771,112.76,139.02,2023-03-31,0
OUT,103.1,37,11.631773636215794,374,fly_ball,field_out,4169,MIA,718771,155.83,50.54,2023-03-31,0
SINGLE,94.5,6,-23.85603138567343,111,ground_ball,single,4169,MIA,718771,86.08,109.31,2023-03-31,1
OUT,102.2,21,-6.5033159238028535,368,line_drive,field_out,4169,MIA,718771,110.0,63.0,2023-03-31,0
