result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type,is_theoretical_fair
OUT,104.2,-42,28.871293998034577,2.0,ground_ball,1
DOUBLE,101.0,27,7.550307454807164,402.0,fly_ball,1
OUT,70.5,7,37.60640633972571,87.0,ground_ball,1
OUT,93.0,-6,43.218118159614285,19.0,ground_ball,1
OUT,81.7,46,-39.83405094851049,258.0,fly_ball,1
OUT,101.4,23,14.103096617101905,395.0,fly_ball,1
OUT,67.0,-31,17.162553996979735,3.0,ground_ball,1
SINGLE,109.6,-5,18.879428035357964,22.0,ground_ball,1
SINGLE,97.4,7,-1.8967752206370745,148.0,line_drive,1
OUT,94.0,-49,35.326207918537975,3.0,ground_ball,1
DOUBLE,101.7,-9,-41.75718246711668,16.0,ground_ball,1
OUT,98.5,-9,30.561561607895825,11.0,ground_ball,1
OUT,89.7,-15,-15.366748470689776,8.0,ground_ball,1
SINGLE,78.2,21,-33.13672508889372,226.0,line_drive,1
OUT,87.2,64,5.244719861163302,152.0,popup,1
OUT,93.2,61,40.7521172140508,202.0,fly_ball,1
OUT,89.8,52,44.45692830627621,273.0,fly_ball,1
OUT,76.7,29,-7.05009896251505,268.0,line_drive,1
OUT,93.2,-26,32.55245540902226,5.0,ground_ball,1
DOUBLE,99.6,15,16.69888239028933,260.0,line_drive,1
SINGLE,83.2,-36,24.312822531192538,2.0,ground_ball,1
SINGLE,78.7,15,-25.2180841109156,177.0,line_drive,1
OUT,30.8,8,46.71117796493414,27.0,ground_ball,0
DOUBLE,101.8,2,16.18237374457628,86.0,ground_ball,1
SINGLE,88.3,20,-30.78218019536476,254.0,line_drive,1
OUT,60.1,-22,-38.3016625409535,5.0,ground_ball,1
SINGLE,91.0,11,27.11360549648999,189.0,line_drive,1
OUT,99.6,30,-31.171013088489374,358.0,fly_ball,1
OUT,74.0,0,-25.65435681544499,25.0,ground_ball,1
OUT,93.1,36,-16.384602861371235,358.0,fly_ball,1
SINGLE,92.2,15,3.146520921538956,242.0,line_drive,1
SINGLE,67.6,33,-21.128321093620983,231.0,fly_ball,1
OUT,82.8,-21,-37.61428121893553,6.0,ground_ball,1
OUT,80.9,58,30.2528791771548,204.0,fly_ball,1
OUT,82.0,9,28.086605244210897,117.0,ground_ball,1
OUT,87.0,37,-20.46628558241683,311.0,fly_ball,1
SINGLE,100.0,5,30.879270754154906,112.0,ground_ball,1
OUT,79.8,48,31.54370330372897,241.0,fly_ball,1
OUT,94.9,0,53.84422493353168,43.0,ground_ball,0
OUT,77.4,-20,39.59993203792023,5.0,ground_ball,1
OUT,88.4,-1,27.2507392055886,44.0,ground_ball,1
