result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type
OUT,87.6,-30,-13.84161111,5,ground_ball
SINGLE,72,21,1.348582887,217,line_drive
OUT,76.1,58,-2.987657959,189,popup
OUT,86.7,-25,4.976364709,7,ground_ball
HR,107.2,35,11.06493147,413,fly_ball
SINGLE,77.5,10,-12.85331288,109,ground_ball
OUT,94.9,76,-29.25224887,60,popup
DOUBLE,110.7,19,-34.43200576,368,line_drive
SINGLE,89.9,-15,50.86428729,10,ground_ball
OUT,47.2,-59,-3.209157423,1,ground_ball
SINGLE,70.5,25,12.54210683,231,fly_ball
OUT,75.4,42,33.57238412,246,fly_ball
OUT,82.7,37,14.17796584,297,fly_ball
HR,107.1,38,41.39206187,405,fly_ball
OUT,84.8,39,-5.840519634,300,fly_ball
SINGLE,95.9,8,42.13038648,182,line_drive
SINGLE,101.3,6,3.325522193,142,ground_ball
SINGLE,99.7,-2,-30.52621034,32,ground_ball
DOUBLE,86.6,0,-47.61656912,40,ground_ball
DOUBLE,107.2,16,-14.70567305,373,line_drive
OUT,96.3,34,32.3266091,340,fly_ball
OUT,84.5,24,-0.712880541,291,line_drive
OUT,78.9,-20,-17.65746842,4,ground_ball
OUT,101.1,23,-8.759971455,376,line_drive
OUT,89.4,29,-0.06208006,345,fly_ball
OUT,97.3,17,20.57965837,324,line_drive
SINGLE,78.1,23,8.492800613,252,line_drive
HR,104.1,26,-7.898493735,411,fly_ball
OUT,85.3,7,-24.35043791,113,ground_ball
OUT,91.1,-21,-23.98901213,7,ground_ball
OUT,99.8,-17,28.40561211,6,ground_ball
OUT,98.6,-1,32.5852823,39,ground_ball
OUT,46.5,-74,33.40782459,0,ground_ball
OUT,100.6,-2,-13.15292275,32,ground_ball
OUT,90.5,-22,17.96942645,9,ground_ball
OUT,49.2,-67,-47.53142814,1,ground_ball
SINGLE,66.8,24,-7.457087017,215,line_drive
SINGLE,109.8,4,-34.91220425,80,ground_ball
OUT,100.6,30,0.484535114,389,fly_ball
OUT,103.6,-7,17.6349046,17,ground_ball
OUT,101.4,-2,11.96652819,37,ground_ball
SINGLE,107.5,10,30.17214131,220,line_drive
OUT,93.5,35,4.879424593,346,fly_ball
SINGLE,110.5,-4,28.05716088,21,ground_ball
OUT,100.2,10,-35.9006827,156,line_drive
HR,103.1,22,-29.47756804,392,line_drive
SINGLE,91.4,-7,5.225312475,17,ground_ball
OUT,90.5,1,52.81301831,45,ground_ball
OUT,77.7,-35,-42.5244409,4,ground_ball
OUT,99.7,-28,-10.16187846,4,ground_ball
SINGLE,21.3,-11,65.99057202,8,ground_ball
SINGLE,97.1,-8,-30.51691809,16,ground_ball
SINGLE,70.3,-48,-30.54039641,2,ground_ball
OUT,54.2,-27,37.0378379,4,ground_ball
OUT,104,18,1.735704589,359,line_drive
OUT,104.9,-10,-46.07819216,12,ground_ball
OUT,95.4,-6,-5.762926814,15,ground_ball
OUT,75.8,-4,31.7267683,24,ground_ball
OUT,70.9,-34,-15.08552143,4,ground_ball
OUT,100.6,-6,27.10355215,18,ground_ball
SINGLE,71.7,3,-31.22588147,51,ground_ball
OUT,90.9,64,-7.909489708,169,popup
OUT,49.4,-2,25.48873565,23,ground_ball
OUT,77.6,-4,36.04619952,24,ground_ball
OUT,73,-8,52.08115909,9,ground_ball
OUT,80.6,39,26.3888556,279,fly_ball
SINGLE,101.2,19,39.89435693,292,line_drive
SINGLE,89.8,15,-24.40453914,196,line_drive
SINGLE,60.6,-62,-28.55561869,1,ground_ball
OUT,79.5,77,28.59481119,57,popup
OUT,79.1,29,-0.629355107,282,line_drive
OUT,75.1,41,-28.37160974,259,fly_ball
OUT,89.3,40,36.49484625,307,fly_ball
DOUBLE,115.4,16,-40.51933534,300,line_drive
OUT,89.2,-21,-44.54886145,5,ground_ball
SINGLE,98.2,14,34.31971429,228,line_drive
OUT,90.7,23,23.59718909,321,fly_ball
OUT,85.1,70,66.26412466,112,popup
OUT,84.8,-24,-34.03106536,6,ground_ball
OUT,102.9,-7,-65.43282868,9,ground_ball
OUT,105.9,-2,40.46372132,32,ground_ball
OUT,76.9,-31,-46.32623759,4,ground_ball
SINGLE,74,22,29.07559114,193,line_drive
OUT,105.7,-16,34.78384559,6,ground_ball
OUT,91.3,33,45.28845174,318,fly_ball
OUT,84.3,-11,-25.35765375,14,ground_ball
OUT,88,41,42.22464241,285,fly_ball
OUT,87.4,48,36.25057358,258,fly_ball
OUT,95.8,-21,35.6859113,8,ground_ball
OUT,89,-12,14.57863322,11,ground_ball
OUT,86.3,-16,22.09826583,8,ground_ball
OUT,86.4,64,27.46414767,165,popup
SINGLE,69,31,-12.53191907,242,fly_ball
DOUBLE,96.5,30,33.27294417,349,fly_ball
OUT,89.2,32,16.40309731,320,fly_ball
OUT,78,34,33.11329886,266,fly_ball
OUT,107.2,-12,6.444723531,12,ground_ball
OUT,91.1,79,65.09332476,30,popup
OUT,98.1,-17,39.74465704,5,ground_ball
OUT,102.1,8,-30.40877204,198,line_drive
OUT,100.9,48,-25.83222631,313,fly_ball
OUT,84.9,52,-31.24974968,246,fly_ball
SINGLE,102.5,15,-21.87417202,254,line_drive
HR,102.7,31,21.57656027,392,fly_ball
OUT,70,53,-7.827811408,188,fly_ball
SINGLE,104.2,15,-39.67517903,260,line_drive
OUT,80.2,59,31.5521811,191,fly_ball
OUT,98.1,-18,-22.17966944,7,ground_ball
OUT,63.9,1,22.90174865,42,ground_ball
OUT,106.2,18,5.538096632,380,line_drive
OUT,82.9,32,11.76679836,313,fly_ball
SINGLE,90.1,-11,50.36673289,9,ground_ball
HR,106.8,28,0.466784142,438,fly_ball
